Year,Song,Artist,query_idx,official,topic,channel_artist_same,keywords,video_title,video_channel,video_url
1999,후회 (Regret),g.o.d,8,False,True,False,True,regret (후회),release - topic,https://www.youtube.com/watch?v=AJ6MQaL_rHY
1999,관찰 (Observation),g.o.d,4,False,False,False,True,"god (지오디) - ""observation (관찰)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=cw7FVNSMg9c
1999,환영문 (Welcome),Click-B,1,False,False,False,True,click-b (클릭비) - gate of honor (환영문) - han/rom/eng lyrics (가사) [2000],oldschoolkpoplyrics,https://www.youtube.com/watch?v=D0zM5vK7ke0
1999,아이야! (I Yah!),H.O.T.,6,False,False,False,True,"h.o.t (에이치오티) - ""i yah! (아이야!)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=rcq71RcV770
1999,열등감 II (The End of My Inferiority Complex II),H.O.T.,0,False,True,True,True,열등감 (the end of my inferiority complex),h.o.t. - topic,https://www.youtube.com/watch?v=FPjo2HbgwYg
1999,후에... II (Since You’ve Gone II),H.O.T.,0,False,True,True,True,"후에... (since, you've gone)",h.o.t. - topic,https://www.youtube.com/watch?v=tKVuCGw3Pl8
1999,영원한 사랑 (Eternal Love),Fin.K.L,1,False,False,False,True,"fin.k.l (핑클) - ""eternal love"" (영원한 사랑) lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=wmwaoXII7mo
1999,축복 (Blessing),H.O.T.,1,False,False,False,True,[vietsub - lyrics] h.o.t. - celebrate (축복),polaris912007,https://www.youtube.com/watch?v=PUhlwV5hLXY
1999,자존심 (Pride),Fin.K.L,3,False,False,False,True,fin.k.l (핑클) - pride (자존심) [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=a_eycotCZ5g
2000,Now,Fin.K.L,3,False,False,False,True,fin.k.l (핑클) - now [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=5Q8LzH_wc2U
2000,가 (Go),1TYM,0,False,True,True,True,how it go..,1tym - topic,https://www.youtube.com/watch?v=42Oc1fVHYHU
1999,꿈을 모아서 (Just in Love),S.E.S.,4,False,False,False,True,s.e.s. (에스이에스) - just in love (꿈을 모아서) lyrics [color coded han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=C1tnrn9V4zw
2000,Sexy,1TYM,1,False,True,True,True,hot 뜨거,1tym - topic,https://www.youtube.com/watch?v=uWUGSbstTds
2000,One Love,1TYM,3,True,False,False,True,[official audio] 원타임(1tym) - one love,riak official,https://www.youtube.com/watch?v=pRz4kl-ldDw
2000,가 (Go) (Remix),1TYM,3,False,True,True,True,how it go..,1tym - topic,https://www.youtube.com/watch?v=42Oc1fVHYHU
2000,약속 (Promise),Click-B,3,False,True,True,True,아주 오래된 연인들 (아주 오래된 연인들),click-b - topic,https://www.youtube.com/watch?v=cF8AK3gBN0U
2000,Be Natural,S.E.S.,3,False,False,False,True,"s.e.s - ""be natural"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=J5UqIoK-UEA
2000,소중한 사람 (Precious Person),Click-B,2,False,True,False,True,dear person,release - topic,https://www.youtube.com/watch?v=OOXV-RrWxQ8
2000,찬바람이 불면 (When the Cold Wind Blows),Click-B,0,False,True,False,True,when the cold wind blows,ivy - topic,https://www.youtube.com/watch?v=PhKC83tu7RA
2000,Long Long Time,S.E.S.,2,False,False,False,True,s.e.s (에스이에스) - long long time lyrics [color coded han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=Dvz_H_UPiaU
2000,바람이 되어 (Become the Wind),Click-B,0,False,True,False,True,고양이의 보은 - 바람이 되어,various artists - topic,https://www.youtube.com/watch?v=ZnLcV4100Zk
2000,I Will...,S.E.S.,2,False,False,False,True,s.e.s (에스이에스) - i will... lyrics [color coded han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=0CZ3C1zzzOE
2000,감싸 안으며 (Show Me Your Love),S.E.S.,4,False,False,False,True,s.e.s (에스이에스) - show me your love (감싸 안으며) lyrics [color coded han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=vcP-4ArixyQ
2000,A Song for Lady,H.O.T.,1,False,True,True,True,for 연가 (a song for lady),h.o.t. - topic,https://www.youtube.com/watch?v=6iwXOIKwHjI
2000,Beautiful Life,S.E.S.,1,False,False,False,True,s.e.s (에스이에스) - beautiful life lyrics [color coded han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=25seGhIbDgs
2000,사랑해 그리고 기억해 (Love and Remember),g.o.d,0,False,False,False,True,"god (지오디) - ""love and remember (사랑해 그리고 기억해)"" lyrics [color coded han/rom/eng]",ksector lyrics,https://www.youtube.com/watch?v=GQ4pfQ7IZmQ
2000,Good-Bye To My Love,S.E.S.,1,False,False,False,True,s.e.s (에스이에스) - good-bye to my love (나를 위한 이별) lyrics [color coded han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=GcEhLHzvu60
2000,애수 (Sorrow),g.o.d,1,False,False,False,True,"god (지오디) - ""sorrow (애수)"" lyrics [color coded han/rom/eng]",ksector lyrics,https://www.youtube.com/watch?v=_Tk1vuniQuE
2000,Sara,BoA,2,False,False,False,True,boa (보아) - sara (color coded lyrics han/rom/eng),twentycolors,https://www.youtube.com/watch?v=GM0CEtG4tXs
2000,Only One,Shinhwa,2,False,False,False,True,shinhwa (신화) - only one [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=3GM9TFy-Avg
2000,Feel Your Love,Fin.K.L,1,False,False,False,True,fin.k.l (핑클) - feel your love [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=XZ_ksrLjIqY
2000,ID; Peace B,BoA,1,False,False,False,True,boa (보아) - id; peace b (color coded lyrics han/rom/eng),twentycolors,https://www.youtube.com/watch?v=ZazQH2NZ-f0
