Year,Song,Artist,Failed reason
2020,Dive (뛰어들게),iKON,No suitable video
2021,Ring The Alarm,KARD,No suitable video
2021,Outsider,BTOB,No suitable video
2021,MY TREASURE,TREASURE,No suitable video
2021,Trigger,베리베리 (VERIVERY),No suitable video
2021,Get Away,베리베리 (VERIVERY),No suitable video
2021,Encore,GOT7,No suitable video
2022,I Love U,Winner,No suitable video
2022,HELLO,TREASURE,No suitable video
2022,VOLKNO,TREASURE,No suitable video
2022,JIKJIN (직진),TREASURE,No suitable video
2022,We Fresh (위 프레쉬),케플러 (Kep1er),No suitable video
2022,Rewind,케플러 (Kep1er),No suitable video
2022,Up! (업!),케플러 (Kep1er),No suitable video
2022,FIRST IMPACT,케플러 (Kep1er),No suitable video
2022,WA DA DA (와다다),케플러 (Kep1er),No suitable video
2022,DOUBLAST,케플러 (Kep1er),No suitable video
2022,Blue Moon,NiziU,No suitable video
2022,Still Life,BigBang,No suitable video
2022,너라는 이유 (But You),iKON,No suitable video
2022,SERIES ‘O’ [ROUND 0 : WHO],베리베리 (VERIVERY),No suitable video
2022,O,베리베리 (VERIVERY),No suitable video
2022,Tap Tap,베리베리 (VERIVERY),No suitable video
2023,Queencard,(G)I-DLE,No suitable video
2023,SLAY,EVERGLOW,No suitable video
2023,Crazy Like That,베리베리 (VERIVERY),No suitable video
2023,Excel,8TURN,No suitable video
2023,Giddy (기디),케플러 (Kep1er),No suitable video
2023,Galileo (갈릴레오),케플러 (Kep1er),No suitable video
2023,Rescue Tayo (TAYO X Kep1er),케플러 (Kep1er),No suitable video
2023,Why,케플러 (Kep1er),No suitable video
2023,Batter Up,BABYMONSTER,No suitable video
2023,MOVE (T5),TREASURE,No suitable video
2023,BONA BONA,TREASURE,No suitable video
2024,Grand Prix,케플러 (Kep1er),No suitable video
2024,Straight Line,케플러 (Kep1er),No suitable video
2024,Fly-High,케플러 (Kep1er),No suitable video
2024,SHEESH,BABYMONSTER,No suitable video
2024,Ru-Pum Pum,8TURN,No suitable video
2024,Stuck In The Middle,BABYMONSTER,No suitable video
2024,There,Tempest,No suitable video
2024,LIGHTHOUSE,Tempest,No suitable video
2009,Mysterious,KARA,No suitable video
2009,Voice,CNBLUE (씨엔블루),No suitable video
2010,블루러브 (Bluelove),CNBLUE (씨엔블루),No suitable video
2010,You and I (Park Bom Solo),2NE1,No suitable video
2013,Red Motion,AOA (에이오에이),No suitable video
2014,Fight,2PM,No suitable video
2016,Practice,비스트,No suitable video
2016,Fxxk It,BigBang,No suitable video
2020,Fear (Korean Ver.),세븐틴(SEVENTEEN),No suitable video
