2015, Woollim Entertainment, 러블리즈 (Lovelyz), For You
2015, Woollim Entertainment, 러블리즈 (Lovelyz), Circle
2015, Woollim Entertainment, 러블리즈 (Lovelyz), Bebe
2016, Woollim Entertainment, 러블리즈 (Lovelyz), Moonrise
2016, Woollim Entertainment, 러블리즈 (Lovelyz), Destiny (My Earth)
2016, Woollim Entertainment, 러블리즈 (Lovelyz), Fondant
2016, Woollim Entertainment, 러블리즈 (Lovelyz), Bookmark
2016, Woollim Entertainment, 러블리즈 (Lovelyz), 1cm
2016, Woollim Entertainment, 러블리즈 (Lovelyz), Dear You
2016, Woollim Entertainment, 러블리즈 (Lovelyz), Baby Doll
2017, Woollim Entertainment, 러블리즈 (Lovelyz), R U Ready?
2017, Woollim Entertainment, 러블리즈 (Lovelyz), WoW!
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Cameo
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Emotion
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Dawn Star (BABYSOUL, Kei, JIN)
2017, Woollim Entertainment, 러블리즈 (Lovelyz), First Snow
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Knock Knock
2017, Woollim Entertainment, 러블리즈 (Lovelyz), The (Lee Mijoo, Ryu Sujeong, Jeong Yein)
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Night and Day
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Hide and Seek
2017, Woollim Entertainment, 러블리즈 (Lovelyz), My Little Lover (Yoo Jiae, Seo Jisoo)
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Now, We
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Aya
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Spotlight
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Twinkle
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Triangle
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Just
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Fallin’
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Secret Garden
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Sleepy Dreams
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Heal
2018, Woollim Entertainment, 러블리즈 (Lovelyz), That Day
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Mi-myo Mi-myo
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Temptation
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Watercolor
2018, Woollim Entertainment, 러블리즈 (Lovelyz), SHINING★STAR
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Wag-zak
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Muse on Music (Instrumental Album)
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Never Ending
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Lost N Found
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Like U
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Rewind
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Rain
