title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
PUMA,205000.0,TOMORROW X TOGETHER,The Dream Chapter: ETERNITY,,,XW,2020-05-18,,TOMORROW X TOGETHER
Quarter Life,150000.0,TOMORROW X TOGETHER,minisode 3: TOMORROW,,,KR,2024-01-14,,TOMORROW X TOGETHER
Ring,204000.0,TOMORROW X TOGETHER,SWEET,,,JP,2023-07-05,,TOMORROW X TOGETHER
Roller Coaster,214000.0,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,,,XW,2019-10-21,,TOMORROW X TOGETHER
Skipping Stones,201573.0,TOMORROW X TOGETHER,The Name Chapter: FREEFALL (GRAVITY),,,US,2023-10-13,,TOMORROW X TOGETHER
Sugar Rush Ride,184373.0,TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,,,XW,2023-01-27,,TOMORROW X TOGETHER
The Killa (I Belong to You),163000.0,TOMORROW X TOGETHER,minisode 3: TOMORROW,,,KR,2024-01-14,,TOMORROW X TOGETHER
Thursday's Child Has Far To Go,211399.0,TOMORROW X TOGETHER,minisode 2: Thursday’s Child,,,XW,2022-05-09,,TOMORROW X TOGETHER
Tinnitus (Wanna be a rock),157000.0,TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,,,XW,2023-01-27,,TOMORROW X TOGETHER
Trust Fund Baby,156364.0,TOMORROW X TOGETHER,minisode 2: Thursday’s Child,,,XW,2022-05-09,,TOMORROW X TOGETHER
Valley of Lies,181000.0,"TOMORROW X TOGETHER, iann dior",Valley of Lies,,,XW,2022-07-22,,TOMORROW X TOGETHER
Wishlist,191000.0,TOMORROW X TOGETHER,minisode1 : Blue Hour,,,KR,2020-10-26,,TOMORROW X TOGETHER
ある日、頭からツノが生えた (CROWN) [Japanese Ver.],232000.0,TOMORROW X TOGETHER,STILL DREAMING,,,XW,2021-01-19,,TOMORROW X TOGETHER
ある日、頭からツノが生えた(CROWN) [Japanese Ver.],230000.0,TOMORROW X TOGETHER,MAGIC HOUR,,,JP,2020-01-15,,TOMORROW X TOGETHER
永遠に光れ (Everlasting Shine),191000.0,TOMORROW X TOGETHER,DRAMA,,,XW,2020-08-19,,TOMORROW X TOGETHER
第12クールOP「永遠に光れ(Everlasting Shine)」,,TOMORROW X TOGETHER,ブラッククローバー主題歌ベスト2,,,JP,2022-05-25,,TOMORROW X TOGETHER
거울 속의 미로,226000.0,TOMORROW X TOGETHER,꿈의 장: ETERNITY,,,KR,2020-05-18,,TOMORROW X TOGETHER
그냥 괴물을 살려두면 안 되는 걸까,231000.0,TOMORROW X TOGETHER,The Dream Chapter : Magic,,,KR,2019-10-21,,TOMORROW X TOGETHER
날씨를 잃어버렸어,210000.0,TOMORROW X TOGETHER,minisode1 : Blue Hour,,,KR,2020-10-26,,TOMORROW X TOGETHER
동물원을 빠져나온 퓨마,205000.0,TOMORROW X TOGETHER,꿈의 장: ETERNITY,,,KR,2020-05-18,,TOMORROW X TOGETHER
물수제비,200000.0,TOMORROW X TOGETHER,The Name Chapter: FREEFALL,,,XW,2023-10-13,,TOMORROW X TOGETHER
별의 낮잠,243000.0,TOMORROW X TOGETHER,The Dream Chapter: STAR,,,KR,2019-03-04,,TOMORROW X TOGETHER
샴푸의 요정,267000.0,TOMORROW X TOGETHER,꿈의 장: ETERNITY,,,KR,2020-05-18,,TOMORROW X TOGETHER
어느날 머리에서 뿔이 자랐다 (CROWN),231000.0,TOMORROW X TOGETHER,The Dream Chapter: STAR,,,KR,2019-03-04,,TOMORROW X TOGETHER
하굣길,182000.0,TOMORROW X TOGETHER,minisode1 : Blue Hour,,,KR,2020-10-26,,TOMORROW X TOGETHER
