title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year
네모네이드 (Nemonade),201106.0,P1Harmony,DISHARMONY : STAND OUT,,,XW,2020-10-28,,P1Harmony,2020
둠두둠 (Doom Du Doom),210333.0,P1Harmony,HARMONY : ZERO IN,,,XW,2022-07-20,,P1Harmony,2022
때깔 (Killin' It),176000.0,P1Harmony,Killin' It,,,XW,2024-02-05,,P1Harmony,2024
배낭여행 (Better Together),195400.0,P1Harmony,HARMONY : SET IN,,,XW,2022-11-30,,P1Harmony,2022
이거지 (That's It),175586.0,P1Harmony,DISHARMONY : STAND OUT,,,XW,2020-10-28,,P1Harmony,2020
태양을 삼킨 아이 (Look At Me Now),204320.0,P1Harmony,HARMONY : SET IN,,,XW,2022-11-30,,P1Harmony,2022
Bull's Eye,197000.0,BTOB 4U,INSIDE,,,KR,2020-10-17,,BTOB 4U,2020
Show Your Love,191000.0,BTOB 4U,INSIDE,,,KR,2020-10-17,,BTOB 4U,2020
Tension,190000.0,BTOB 4U,INSIDE,,,KR,2020-10-17,,BTOB 4U,2020
그대로예요,244000.0,BTOB 4U,INSIDE,,,KR,2020-10-17,,BTOB 4U,2020
신기루,186000.0,BTOB 4U,INSIDE,,,KR,2020-10-17,,BTOB 4U,2020
MAXSTEP,226000.0,Younique Unit,Maxstep,,,,2012-10-30,,Younique Unit,2012
4 Seasons,218000.0,예성,Sensory Flows,,,XW,2023-01-25,,예성,2023
A Letter In The Wind,267000.0,예성,Beautiful Night,,,KR,2021-05-03,,예성,2021
All Night Long,196000.0,예성,Sensory Flows,,,XW,2023-01-25,,예성,2023
Are you ready?,250705.0,예성,꽃미남 연쇄테러사건 OST,,,KR,2007-07-30,,예성,2007
Bear Hug,257000.0,예성,Sensory Flows,,,XW,2023-01-25,,예성,2023
Beautiful,210000.0,예성,Sensory Flows,,,XW,2023-01-25,,예성,2023
Between,192000.0,예성,Here I am,,,KR,2016-04-19,,예성,2016
Butterfly,196435.0,예성,Unfading Sense,,,XW,2023-10-04,,예성,2023
Carpet,222400.0,"예성, BUMKEY",Carpet - SM STATION,,,XW,2019-01-10,,예성,2019
Corazón Perdido (Lost Heart),261000.0,예성,Beautiful Night,,,KR,2021-05-03,,예성,2021
Darling U,189000.0,"예성, SEULGI",Darling U,,,KR,2017-01-22,,예성,2017
Eat's OK,207000.0,예성,Pink Magic,,,KR,2019-06-18,,예성,2019
"Every Day, Wait For Us",230000.0,예성,Pink Magic,,,KR,2019-06-18,,예성,2019
Fireworks,214000.0,예성,Beautiful Night,,,KR,2021-05-03,,예성,2021
Floral Sense,228000.0,"예성, 윈터",Floral Sense - The 1st Album (Special Version),,,XW,2023-02-27,,예성,2023
Fly (번지점프),220000.0,예성,Spring Falling,,,KR,2017-04-18,,예성,2017
Fornever,150759.0,예성,Unfading Sense,,,XW,2023-10-04,,예성,2023
HO,217000.0,"예성, MARK",Sensory Flows,,,XW,2023-01-25,,예성,2023
I am,218468.0,예성,Unfading Sense,,,XW,2023-10-04,,예성,2023
I'll Remember,223000.0,예성,Pink Magic,,,KR,2019-06-18,,예성,2019
Like Us,210000.0,예성,Beautiful Night,,,KR,2021-05-03,,예성,2021
Mermaid,208000.0,예성,Sensory Flows,,,XW,2023-01-25,,예성,2023
Moment,230000.0,예성,Sensory Flows,,,XW,2023-01-25,,예성,2023
Mother,248000.0,예성,Floral Sense - The 1st Album (Special Version),,,XW,2023-02-27,,예성,2023
No More Love,200000.0,예성,Beautiful Night,,,KR,2021-05-03,,예성,2021
Parallel Lines,243000.0,예성,Pink Magic,,,KR,2019-06-18,,예성,2019
Phantom Pain,218000.0,예성,Beautiful Night,,,KR,2021-05-03,,예성,2021
Pink Magic,194000.0,예성,Pink Magic,,,KR,2019-06-18,,예성,2019
Scented Things,259830.0,예성,Unfading Sense,,,XW,2023-10-04,,예성,2023
