title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year
콘서트 메이킹 필름,,BoA,SPECIAL LIVE - Here I Am,,,KR,2015-07-02,,BoA,2015
한별 (Implode),392386.0,BoA,Hurricane Venus,,,KR,2010-08-05,,BoA,2010
홧김에 (Irreversible),219134.0,BoA,WOMAN,,,KR,2018-10-24,,BoA,2018
AGAIN? AGAIN!,198586.0,Xdinary Heroes,Livelock,,,,2023-10-12,,Xdinary Heroes,2023
Bad Chemical,185386.0,Xdinary Heroes,Livelock,,,,2023-10-12,,Xdinary Heroes,2023
Bicycle,190880.0,Xdinary Heroes,Deadlock,,,AF,2023-04-26,,Xdinary Heroes,2023
Break the Brake,200573.0,Xdinary Heroes,Livelock,,,,2023-10-12,,Xdinary Heroes,2023
checkmate,207480.0,Xdinary Heroes,Deadlock,,,AF,2023-04-26,,Xdinary Heroes,2023
Come into my head,194387.0,Xdinary Heroes,Deadlock,,,AF,2023-04-26,,Xdinary Heroes,2023
Crack in the mirror,160000.0,Xdinary Heroes,Overload,,,XW,2022-11-11,,Xdinary Heroes,2022
Dear H.,177413.0,Xdinary Heroes,Deadlock,,,AF,2023-04-26,,Xdinary Heroes,2023
Enemy,174893.0,Xdinary Heroes,Livelock,,,,2023-10-12,,Xdinary Heroes,2023
Freakin' Bad,183670.0,Xdinary Heroes,Deadlock,,,AF,2023-04-26,,Xdinary Heroes,2023
Freddy,205200.0,Xdinary Heroes,Livelock,,,,2023-10-12,,Xdinary Heroes,2023
Ghost,156000.0,Xdinary Heroes,Overload,,,XW,2022-11-11,,Xdinary Heroes,2022
Good enough,237533.0,Xdinary Heroes,Deadlock,,,AF,2023-04-26,,Xdinary Heroes,2023
Hair Cut,205000.0,Xdinary Heroes,Overload,,,XW,2022-11-11,,Xdinary Heroes,2022
Happy Death Day,220000.0,Xdinary Heroes,Happy Death Day,,,KR,2021-12-06,,Xdinary Heroes,2021
Knock Down,216000.0,Xdinary Heroes,"Hello, World!",,,XW,2022-07-20,,Xdinary Heroes,2022
LUNATIC,224000.0,Xdinary Heroes,Overload,,,XW,2022-11-11,,Xdinary Heroes,2022
Man in the Box,189187.0,Xdinary Heroes,Deadlock,,,AF,2023-04-26,,Xdinary Heroes,2023
Money On My Mind,207027.0,Xdinary Heroes,Troubleshooting,,,,2024-04-30,,Xdinary Heroes,2024
MONEYBALL,192854.0,Xdinary Heroes,Troubleshooting,,,,2024-04-30,,Xdinary Heroes,2024
No Matter,209814.0,Xdinary Heroes,Troubleshooting,,,,2024-04-30,,Xdinary Heroes,2024
Paint It,202920.0,Xdinary Heroes,Troubleshooting,,,,2024-04-30,,Xdinary Heroes,2024
Paranoid,230960.0,Xdinary Heroes,Livelock,,,,2023-10-12,,Xdinary Heroes,2023
Pirates,199000.0,Xdinary Heroes,"Hello, World!",,,XW,2022-07-20,,Xdinary Heroes,2022
PLUTO,200920.0,Xdinary Heroes,Livelock,,,,2023-10-12,,Xdinary Heroes,2023
Strawberry Cake,218000.0,Xdinary Heroes,"Hello, World!",,,XW,2022-07-20,,Xdinary Heroes,2022
Sucker Punch!,214000.0,Xdinary Heroes,"Hello, World!",,,XW,2022-07-20,,Xdinary Heroes,2022
Test Me,199000.0,Xdinary Heroes,"Hello, World!",,,XW,2022-07-20,,Xdinary Heroes,2022
UNDEFINED,169080.0,Xdinary Heroes,Troubleshooting,,,,2024-04-30,,Xdinary Heroes,2024
until the end of time,216027.0,Xdinary Heroes,Troubleshooting,,,,2024-04-30,,Xdinary Heroes,2024
Walking to the Moon,165667.0,Xdinary Heroes,Troubleshooting,,,,2024-04-30,,Xdinary Heroes,2024
Wego Wego,188146.0,Xdinary Heroes,Wego Wego (Killer Peter X Xdinary Heroes) [Original Webtoon Soundtrack],,,XW,2024-03-08,,Xdinary Heroes,2024
X-MAS,183000.0,Xdinary Heroes,Overload,,,XW,2022-11-11,,Xdinary Heroes,2022
Zzz..,215000.0,Xdinary Heroes,Overload,,,XW,2022-11-11,,Xdinary Heroes,2022
꿈을 꾸는 소녀,216534.0,Xdinary Heroes,Troubleshooting,,,,2024-04-30,,Xdinary Heroes,2024
불꽃놀이의 밤,195440.0,Xdinary Heroes,Troubleshooting,,,,2024-04-30,,Xdinary Heroes,2024
어리고 부끄럽고 바보 같은,212774.0,Xdinary Heroes,Troubleshooting,,,,2024-04-30,,Xdinary Heroes,2024
('Cause) I'm Your Girl,223000.0,S.E.S.,S.E.S.,,,KR,1997-11,,S.E.S.,1997
(愛)という名の誇り,332200.0,S.E.S.,REACH OUT,,,JP,1999-03-10,,S.E.S.,1999
A Song For You,271533.0,S.E.S.,Be Ever Wonderful,,,JP,2000-05-24,,S.E.S.,2000
Be my lover,260906.0,S.E.S.,S.E.S. 2,,,JP,2001-08-22,,S.E.S.,2001
Be Natural,282000.0,S.E.S.,A letter from Greenland,,,,2000-12-16,,S.E.S.,2000
Beautiful Life,271666.0,S.E.S.,A letter from Greenland,,,,2000-12-16,,S.E.S.,2000
Believe in Love,,S.E.S.,めぐりあう世界,,,JP,1998-10-21,,S.E.S.,1998
Birthday,219000.0,S.E.S.,Remember,,,KR,2017-01-02,,S.E.S.,2017
Blue Sky,262493.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
BRAND NEW★WORLD,232733.0,S.E.S.,Be Ever Wonderful,,,JP,2000-05-24,,S.E.S.,2000
Brand-New Weekend,231773.0,S.E.S.,'02 Summer Vacation in SMTOWN.com,,,KR,2002-06-01,,S.E.S.,2002
Candy Lane,198000.0,S.E.S.,Remember,,,KR,2017-01-02,,S.E.S.,2017
Chance,223866.0,S.E.S.,A letter from Greenland,,,,2000-12-16,,S.E.S.,2000
Choose My Life,212840.0,S.E.S.,Choose My Life-U,,,KR,2002-02-14,,S.E.S.,2002
Dejavu,224773.0,S.E.S.,S.E.S.,,,JP,2001-08-22,,S.E.S.,2001
Do & Be,242866.0,S.E.S.,Be Ever Wonderful,,,JP,2000-05-24,,S.E.S.,2000
Don't forget,213160.0,S.E.S.,Choose My Life-U,,,JP,2002-05-02,,S.E.S.,2002
Dreams Come True,245733.0,S.E.S.,Dreams Come True,,,KR,1998-11-11,,S.E.S.,1998
Ending,76467.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
Eternal Love,211000.0,S.E.S.,Dreams Come True,,,KR,1998-11-11,,S.E.S.,1998
Ever After,252400.0,S.E.S.,Choose My Life-U,,,JP,2002-05-02,,S.E.S.,2002
Feeling,227000.0,S.E.S.,S.E.S. 2,,,JP,2001-08-22,,S.E.S.,2001
Friend,273666.0,S.E.S.,S.E.S.,,,JP,2001-08-22,,S.E.S.,2001
Give In to Me,249466.0,S.E.S.,Choose My Life-U,,,JP,2002-05-02,,S.E.S.,2002
Good-Bye,247440.0,S.E.S.,S.E.S.,,,KR,1997-11,,S.E.S.,1997
Happiness,199426.0,S.E.S.,Friend,,,KR,2002-11-21,,S.E.S.,2002
Hush,235000.0,S.E.S.,Remember,,,KR,2017-01-02,,S.E.S.,2017
I love you,216133.0,S.E.S.,S.E.S. 2,,,JP,2001-08-22,,S.E.S.,2001
I Will,281000.0,S.E.S.,Best,,,JP,2002-07-10,,S.E.S.,2002
I've Been Waiting for You,218800.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
Joy,211160.0,S.E.S.,A letter from Greenland,,,,2000-12-16,,S.E.S.,2000
Kiss,257000.0,S.E.S.,Dreams Come True,,,KR,1998-11-11,,S.E.S.,1998
Let It Snow,230000.0,S.E.S.,Winter Vacation in SMTOWN.com,,,KR,2000-12-08,,S.E.S.,2000
Life 〜this is the power〜,229000.0,S.E.S.,Be Ever Wonderful,,,JP,2000-05-24,,S.E.S.,2000
Life~this is the power,,S.E.S.,T.O.P. (Twinkling of paradise),,,JP,1999-10-27,,S.E.S.,1999
LIKE A SHOOTING STAR,313733.0,S.E.S.,REACH OUT,,,JP,1999-03-10,,S.E.S.,1999
Little Bird,269373.0,S.E.S.,夢をかさねて,,,JP,1999-02-21,,S.E.S.,1999
Long Long Time,232666.0,S.E.S.,A letter from Greenland,,,,2000-12-16,,S.E.S.,2000
Long-life Journey,214040.0,S.E.S.,Choose My Life-U,,,JP,2002-05-02,,S.E.S.,2002
Love,252506.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
Lovin' you,291333.0,S.E.S.,Lovin' you,,,JP,2000-08-02,,S.E.S.,2000
Melody,245800.0,S.E.S.,A Letter From Greenland,,,JP,2001-06-13,,S.E.S.,2001
Miracle,244426.0,S.E.S.,Sign of Love / Miracle,,,JP,1999-12-08,,S.E.S.,1999
My Rainbow (친구-세번째 이야기),256000.0,S.E.S.,Remember,,,KR,2017-01-02,,S.E.S.,2017
Nonsense,235600.0,S.E.S.,S.E.S.,,,KR,1997-11,,S.E.S.,1997
Opening,89960.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
Perfect Reason,274373.0,S.E.S.,S.E.S.,,,JP,2001-08-22,,S.E.S.,2001
Playboy (Taming a playboy),210600.0,S.E.S.,S.E.S. 3: Love,,,JP,2001-08-22,,S.E.S.,2001
Pray for You,273133.0,S.E.S.,Choose My Life-U,,,JP,2002-05-02,,S.E.S.,2002
Promise,264466.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
Rain,244000.0,S.E.S.,A letter from Greenland,,,,2000-12-16,,S.E.S.,2000
Red Angel,214946.0,S.E.S.,Choose My Life-U,,,KR,2002-02-14,,S.E.S.,2002
Remember,244000.0,S.E.S.,Remember,,,KR,2017-01-02,,S.E.S.,2017
Requiem,236933.0,S.E.S.,Choose My Life-U,,,KR,2002-02-14,,S.E.S.,2002
ROCK'n 나라,232666.0,S.E.S.,S.E.S.,,,KR,1997-11,,S.E.S.,1997
Round & Round,249773.0,S.E.S.,Be Ever Wonderful,,,JP,2000-05-24,,S.E.S.,2000
Round and Round,252533.0,S.E.S.,Love 〜いつまでもオンジェ･カジナ〜,,,JP,2000-04-21,,S.E.S.,2000
S.II.S,212800.0,S.E.S.,Friend,,,KR,2002-11-21,,S.E.S.,2002
Scent of Yours,417800.0,S.E.S.,S.E.S.,,,JP,2001-08-22,,S.E.S.,2001
School,232733.0,S.E.S.,S.E.S.,,,JP,2001-08-22,,S.E.S.,2001
Sharala,229266.0,S.E.S.,S.E.S. 3: Love,,,JP,2001-08-22,,S.E.S.,2001
Shining Star,267840.0,S.E.S.,(愛)という名の誇り,,,JP,1999-06-23,,S.E.S.,1999
Shy Boy,221000.0,S.E.S.,Dreams Come True,,,KR,1998-11-11,,S.E.S.,1998
Silver,247800.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
Slip Away,201200.0,S.E.S.,A letter from Greenland,,,,2000-12-16,,S.E.S.,2000
Snow in Eyes,222000.0,S.E.S.,Christmas in SMTOWN.com,,,KR,1999-12-14,,S.E.S.,1999
"Snow, X-mas",238000.0,S.E.S.,Dreams Come True,,,KR,1998-11-11,,S.E.S.,1998
Someone to Feel,228133.0,S.E.S.,Choose My Life-U,,,JP,2002-05-02,,S.E.S.,2002
Story,239466.0,S.E.S.,A letter from Greenland,,,,2000-12-16,,S.E.S.,2000
Sugar Baby,243040.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
Sweety Humming,289413.0,S.E.S.,Surprise,,,KR,2001-07-13,,S.E.S.,2001
Sweetyハミング,284000.0,S.E.S.,REACH OUT,,,JP,1999-03-10,,S.E.S.,1999
T.O.P. (Twinkling of paradise),,S.E.S.,T.O.P. (Twinkling of paradise),,,JP,1999-10-27,,S.E.S.,1999
Tears,250133.0,S.E.S.,S.E.S. 2,,,JP,2001-08-22,,S.E.S.,2001
Tell Me,225133.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
The Courage,232066.0,S.E.S.,Choose My Life-U,,,JP,2002-05-02,,S.E.S.,2002
The First Noel,242000.0,S.E.S.,Winter Vacation in SMTOWN.com: Angel Eyes,,,KR,2001-12-04,,S.E.S.,2001
Tiny Little Things,252293.0,S.E.S.,A letter from Greenland,,,,2000-12-16,,S.E.S.,2000
To You,259293.0,S.E.S.,S.E.S. 2,,,JP,2001-08-22,,S.E.S.,2001
Twilight Zone,226173.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
U,203933.0,S.E.S.,Choose My Life-U,,,KR,2002-02-14,,S.E.S.,2002
Wait,213133.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
Wish,221226.0,S.E.S.,A letter from Greenland,,,,2000-12-16,,S.E.S.,2000
めぐりあう世界,299666.0,S.E.S.,めぐりあう世界,,,JP,1998-10-21,,S.E.S.,1998
夢をかさねて,289600.0,S.E.S.,夢をかさねて,,,JP,1999-02-21,,S.E.S.,1999
悲歌,250000.0,S.E.S.,Dreams Come True,,,KR,1998-11-11,,S.E.S.,1998
時の雫,281040.0,S.E.S.,REACH OUT,,,JP,1999-03-10,,S.E.S.,1999
月の果てまで,271066.0,S.E.S.,PRIME -S.E.S. the best-,,,JP,2000-03-15,,S.E.S.,2000
海のオーロラ,314600.0,S.E.S.,Be Ever Wonderful,,,JP,2000-05-24,,S.E.S.,2000
결혼식,106266.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
그는 없다,104706.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
그대로부터 세상 빛은 시작되고 (The Light),268000.0,S.E.S.,Remember,,,KR,2017-01-02,,S.E.S.,2017
그대의 향기,266560.0,S.E.S.,S.E.S.,,,KR,1997-11,,S.E.S.,1997
그를 만났습니다 (이정하),93466.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
기도,271906.0,S.E.S.,Choose My Life-U,,,KR,2002-02-14,,S.E.S.,2002
나도 남편이 있었으면 좋겠다,227533.0,S.E.S.,Choose My Life-U,,,KR,2002-02-14,,S.E.S.,2002
내게로,248533.0,S.E.S.,Choose My Life-U,,,KR,2002-02-14,,S.E.S.,2002
너를 사랑해,216000.0,S.E.S.,Dreams Come True,,,KR,1998-11-11,,S.E.S.,1998
너에게,259000.0,S.E.S.,Dreams Come True,,,KR,1998-11-11,,S.E.S.,1998
느낌,227000.0,S.E.S.,Dreams Come True,,,KR,1998-11-11,,S.E.S.,1998
달 끝까지 (Beyond the Moon),268000.0,S.E.S.,Surprise,,,KR,2001-07-13,,S.E.S.,2001
달리기,212573.0,S.E.S.,Choose My Life-U,,,KR,2002-02-14,,S.E.S.,2002
또 다른 나,127493.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
바람둥이 길들이기 (Taming a Playboy),212440.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
사랑할 때 너무나 사랑할 때 (김현),73440.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
산다는 건 다 그런 게 아니겠니 (Life),236000.0,S.E.S.,Remember,,,KR,2017-01-02,,S.E.S.,2017
샤랄라,230880.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
스크램블,81200.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
아름다운 기억,152560.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
애인찾기,261000.0,S.E.S.,Dreams Come True,,,KR,1998-11-11,,S.E.S.,1998
얼굴,149800.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
오늘이 지나면,268066.0,S.E.S.,S.E.S.,,,KR,1997-11,,S.E.S.,1997
완전한 이유,274493.0,S.E.S.,S.E.S.,,,KR,1997-11,,S.E.S.,1997
용기,231066.0,S.E.S.,Choose My Life-U,,,KR,2002-02-14,,S.E.S.,2002
웃음 I,128253.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
잊지 못해,212213.0,S.E.S.,Choose My Life-U,,,KR,2002-02-14,,S.E.S.,2002
차라리 당신을 잊고자 할 때 (도종환),205160.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
첫사랑,89826.0,S.E.S.,Love,,,KR,1999-10-29,,S.E.S.,1999
친구,273706.0,S.E.S.,S.E.S.,,,KR,1997-11,,S.E.S.,1997
편지,227240.0,S.E.S.,Friend,,,KR,2002-11-21,,S.E.S.,2002
한 폭의 그림 (Paradise),210000.0,S.E.S.,Remember,,,KR,2017-01-02,,S.E.S.,2017
7 Days,217000.0,휘성,For the Moment,,,KR,2004-10-18,,휘성,2004
Against All Odds,202000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
Alone,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
Angel,273773.0,휘성,It's Real,,,KR,2003-08-21,,휘성,2003
As,,휘성,Color of the Soul Train,,,KR,2003-12-17,,휘성,2003
Best Man,237000.0,"휘성, 에스나",The Best Man,,,KR,2014-05-12,,휘성,2014
Breaking Down,234000.0,휘성,우주속에서,,,KR,2018-10-11,,휘성,2018
Choco Luv,275000.0,휘성,With All My Heart And Soul,,,KR,2008-10-31,,휘성,2008
Clubbin',238000.0,"휘성, Jinu",For the Moment,,,KR,2004-10-18,,휘성,2004
Corea new school 제비 스딸,191000.0,"휘성, TEDDY",For the Moment,,,KR,2004-10-18,,휘성,2004
Dear My Friend,234000.0,"휘성, 이정, 하동균",For the Moment,,,KR,2004-10-18,,휘성,2004
Dilemma,223000.0,"휘성, 박민혜",It's Real,,,KR,2003-08-21,,휘성,2003
Feel The Night,194946.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
For You,226000.0,휘성,괜찮아 사랑이야 OST Part 4,,,KR,2014-08-13,,휘성,2014
Girls,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
Good-Bye Luv,199000.0,휘성,YG 10th Anniversary Special Album,,,KR,2006-07-31,,휘성,2006
I'm Missing You,222506.0,휘성,It's Real,,,KR,2003-08-21,,휘성,2003
Incomplete,264293.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
Insomnia (불면증),206000.0,휘성,Insomnia,,,KR,2009-02-18,,휘성,2009
Interlude,41213.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
Interude With 효리,,휘성,With All My Heart And Soul,,,KR,2008-10-31,,휘성,2008
Intro,51626.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
Kiss,184000.0,"휘성, Ailee",WS Duet Project No.4,,,KR,2015-02-12,,휘성,2015
Love Hero,228000.0,"휘성, J",Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
Luv shine,268000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
Luz Control,229093.0,"휘성, SE7EN, Lexy",It's Real,,,KR,2003-08-21,,휘성,2003
Magic Eye,249693.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
Marry Me,255000.0,"휘성, 상추",Transformation,,,KR,2016-06-14,,휘성,2016
Morning,200000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
Music,227000.0,휘성,놈들이 온다,,,KR,2011-10-10,,휘성,2011
My Way,237000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
Night and Day,220000.0,휘성,The Best Man,,,KR,2014-05-12,,휘성,2014
Oh Lonely,243000.0,휘성,놈들이 온다,,,KR,2011-10-10,,휘성,2011
OJ,166000.0,휘성,놈들이 온다,,,KR,2011-10-10,,휘성,2011
Outro,90000.0,"휘성, Masta Wu",It's Real,,,KR,2003-08-21,,휘성,2003
Over U,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
Player,239706.0,휘성,It's Real,,,KR,2003-08-21,,휘성,2003
Prayer 4 Soul,267000.0,"휘성, Lovelyn",With All My Heart And Soul,,,KR,2008-10-31,,휘성,2008
Present,239000.0,휘성,우주속에서,,,KR,2018-10-11,,휘성,2018
Pretty Lady,252000.0,휘성,It's Real,,,KR,2003-08-21,,휘성,2003
Rain Drop,225000.0,"휘성, G.고릴라",우리집에 왜 왔니,,,KR,2009-04-02,,휘성,2009
Realsolw Gotta Go Again,64000.0,휘성,With All My Heart And Soul,,,KR,2008-10-31,,휘성,2008
Road of Tears,230000.0,휘성,The Moon That Embraces the Sun OST,,,KR,2012-02-15,,휘성,2012
Rose,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
Savannah Woman (Rap feat. Verbaljint 김진태),224000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
Set Me Free,261973.0,"휘성, Dirty Mack",It's Real,,,KR,2003-08-21,,휘성,2003
She's Beautiful,221000.0,휘성,For the Moment,,,KR,2004-10-18,,휘성,2004
Show Me Girl,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
Skit Part 1. 박.갑.성. Vs 삼오십오 (일산 집으로 가다가),139000.0,휘성,For the Moment,,,KR,2004-10-18,,휘성,2004
Skit Part 2. 삼오십오 VS 박.갑. (광주여고로 가다가),144000.0,휘성,For the Moment,,,KR,2004-10-18,,휘성,2004
Tick Tock,205000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
Too Hot,207000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
UUU,235000.0,휘성,놈들이 온다,,,KR,2011-10-10,,휘성,2011
With Me,210293.0,"휘성, TEDDY",It's Real,,,KR,2003-08-21,,휘성,2003
You Are The Only One,223653.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
가,266000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
결혼까지 생각했어,213000.0,휘성,RealSlow is Back,,,KR,2010-08-26,,휘성,2010
기적이 일어났으면 좋겠어,207000.0,휘성,우주속에서,,,KR,2018-10-11,,휘성,2018
나락(奈落),345000.0,휘성,With All My Heart And Soul,,,KR,2008-10-31,,휘성,2008
내 눈물보다,268000.0,휘성,For the Moment,,,KR,2004-10-18,,휘성,2004
내 사람,216000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
너라는 명작,228000.0,휘성,DOKKUN Project Part 1,,,KR,2012-09-27,,휘성,2012
네 심장이 쉬는 날,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
네 옆에 누워,238000.0,휘성,The Best Man,,,KR,2014-05-12,,휘성,2014
노래 좀 꺼줘요,189000.0,휘성,Transformation,,,KR,2016-06-14,,휘성,2016
놈들이 온다,214000.0,휘성,놈들이 온다,,,KR,2011-10-10,,휘성,2011
눈물 쏟고 또 쏟고,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
다시 만난 날,273960.0,휘성,It's Real,,,KR,2003-08-21,,휘성,2003
다쳐도 좋아,222000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
돈 벌어야 돼,207000.0,휘성,The Best Man,,,KR,2014-05-12,,휘성,2014
떠나,259573.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
만져주기,229000.0,"휘성, 윤하",Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
말을 해줘,231360.0,휘성,It's Real,,,KR,2003-08-21,,휘성,2003
모르고 싶다,252000.0,휘성,The Best Man,,,KR,2014-05-12,,휘성,2014
미워하고 싶은데,292893.0,휘성,It's Real,,,KR,2003-08-21,,휘성,2003
미인,272200.0,휘성,It's Real,,,KR,2003-08-21,,휘성,2003
벌,202000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
별이 지다..,238000.0,휘성,With All My Heart And Soul,,,KR,2008-10-31,,휘성,2008
불치병,222000.0,"휘성, Masta Wu",For the Moment,,,KR,2004-10-18,,휘성,2004
사랑 그 몹쓸 병,242000.0,휘성,RealSlow is Back,,,KR,2010-08-26,,휘성,2010
사랑 한 장,211000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
사랑.. 그 몹쓸병,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
사랑은,277000.0,"휘성, 이지영",For the Moment,,,KR,2004-10-18,,휘성,2004
사랑하지 않을 거라면,279400.0,휘성,It's Real,,,KR,2003-08-21,,휘성,2003
사랑해..,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
설마,247000.0,휘성,가슴 시린 이야기,,,KR,2011-03-15,,휘성,2011
세상이 우릴 갈라도,266000.0,휘성,로드 넘버원 OST,,,KR,2010-08-04,,휘성,2010
스마일 프로젝트 Vol. 2 - Love Seat,231888.0,"휘성, 타루, Humming Urban Stereo",스마일 프로젝트 Vol. 2 - Love Seat,,,XW,2008-04-01,,휘성,2008
아는 사람,225000.0,휘성,가슴 시린 이야기,,,KR,2011-03-15,,휘성,2011
아무일 없었다는 듯,247000.0,"휘성, ALi",Transformation,,,KR,2016-06-14,,휘성,2016
아직도..,235813.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
악몽 (惡夢),215773.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
안녕히 계시죠,193000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
안되나요,,휘성,Color of the Soul Train,,,KR,2003-12-17,,휘성,2003
어쩌다 보니 비밀,246000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
얼마짜리 사랑,194000.0,"휘성, BUMKEY, Jessi",Transformation,,,KR,2016-06-14,,휘성,2016
완벽한 남자,231000.0,휘성,With All My Heart And Soul,,,KR,2008-10-31,,휘성,2008
왜 나만,208000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
우주속에서,207000.0,휘성,우주속에서,,,KR,2018-10-11,,휘성,2018
울보,281000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
이런 시츄에이션,230000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
이별 앞에 서서,225000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
일년이면,260000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
일생을 (Remake),273000.0,휘성,For the Moment,,,KR,2004-10-18,,휘성,2004
전할 수 없는 이야기,234826.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
제껴,199000.0,"휘성, ELLY",Transformation,,,KR,2016-06-14,,휘성,2016
제발,231613.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
주르륵,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
차안남녀,203000.0,휘성,Eternal Essence of Music,,,KR,2007-09-04,,휘성,2007
친구로 남아줄게,215000.0,"휘성, Geeks",Transformation,,,KR,2016-06-14,,휘성,2016
커다란.. 너무 커다란..,121000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
타임머신,,휘성,Vocolate,,,KR,2009-10-10,,휘성,2009
탈피,205000.0,휘성,For the Moment,,,KR,2004-10-18,,휘성,2004
하나 둘 셋 넷,258000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
하늘에서,276893.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
하늘을 걸어서,216000.0,휘성,Love.. Love..? Love..!,,,KR,2005-09-21,,휘성,2005
회상,216000.0,휘성,A Moment to Remember,,,KR,2004-10-27,,휘성,2004
후애 (後愛),267760.0,휘성,Like A Movie,,,KR,2002-04-03,,휘성,2002
Cheer Man,231918.0,SUV (SHINDONG&UV),Cheer Man,,,XW,2019-02-28,,SUV (SHINDONG&UV),2019
Connect,105000.0,유경,Connect,,,KR,2020-10-19,,유경,2020
Out of My Mind,167000.0,유경,Connect,,,KR,2020-10-19,,유경,2020
Universe,215000.0,유경,Connect,,,KR,2020-10-19,,유경,2020
I Did It,235000.0,SPICA,I Did It,,,XW,2014-08-07,,SPICA,2014
I'll Be There,186490.0,SPICA,I'll Be There,,,KR,2012-09-19,,SPICA,2012
