query_artist_name,song_title,album_name,release_year,spotify_artist_name
4minute,Ready Go (Karaoke Ver.),Ready Go (Standard),2011,4Minute
4minute,Heart To Heart (Japanese Version),Heart To Heart (Japanese Version),2011,4Minute
4minute,Heart To Heart (Instrumental),Heart To Heart (Japanese Version),2011,4Minute
4minute,Freestyle,Freestyle,2011,4Minute
4minute,4minutes Left,Heart To Heart,2011,4Minute
4minute,Heart To Heart,Heart To Heart,2011,4Minute
4minute,Sweet Suga Honey!,Heart To Heart,2011,4Minute
4minute,You Know,Heart To Heart,2011,4Minute
4minute,Pretending Not To Know,Heart To Heart,2011,4Minute
4minute,WHY,WHY,2011,4Minute
4minute,WHY (Instrumental),WHY,2011,4Minute
4minute,4minutes Left,4minutes Left,2011,4Minute
4minute,Mirror Mirror,4minutes Left,2011,4Minute
4minute,Heart To Heart,4minutes Left,2011,4Minute
4minute,Sweet Suga Honey!,4minutes Left,2011,4Minute
4minute,Pretending Not To Know,4minutes Left,2011,4Minute
4minute,You Know,4minutes Left,2011,4Minute
4minute,Already Gone,4minutes Left,2011,4Minute
4minute,First,4minutes Left,2011,4Minute
4minute,Hide and Seek,4minutes Left,2011,4Minute
4minute,Badly,4minutes Left,2011,4Minute
4minute,Ready Go,Ready Go (Standard),2011,4Minute
4minute,Sweet Sugar Honey! (Japanese Ver.),Ready Go (Standard),2011,4Minute
4minute,Ready Go (Karaoke Ver.),Ready Go (Standard),2011,4Minute
4minute,Heart To Heart (Japanese Version),Heart To Heart (Japanese Version),2011,4Minute
4minute,Heart To Heart (Instrumental),Heart To Heart (Japanese Version),2011,4Minute
4minute,Freestyle,Freestyle,2011,4Minute
4minute,4minutes Left,Heart To Heart,2011,4Minute
4minute,Heart To Heart,Heart To Heart,2011,4Minute
4minute,Sweet Suga Honey!,Heart To Heart,2011,4Minute
4minute,You Know,Heart To Heart,2011,4Minute
4minute,Pretending Not To Know,Heart To Heart,2011,4Minute
4minute,WHY,WHY,2011,4Minute
4minute,WHY (Instrumental),WHY,2011,4Minute
4minute,Welcome to the School,School OST Part 1,2012,4Minute
4minute,Welcome to the School - Instrumental,School OST Part 1,2012,4Minute
4minute,Love Tension,Love Tension,2012,4Minute
4minute,Volume up (Japanese Version),Love Tension,2012,4Minute
4minute,Love Tension (Karaoke Version),Love Tension,2012,4Minute
4minute,Volume up (Karaoke Version),Love Tension,2012,4Minute
4minute,Get On The Floor,Volume Up,2012,4Minute
4minute,Volume Up,Volume Up,2012,4Minute
4minute,I'm OK,Volume Up,2012,4Minute
4minute,Say My Name,Volume Up,2012,4Minute
4minute,Femme Fatale,Volume Up,2012,4Minute
4minute,Dream Racer,Volume Up,2012,4Minute
4minute,Black Cat,Volume Up,2012,4Minute
4minute,Welcome to the School,School OST Part 1,2012,4Minute
4minute,Welcome to the School - Instrumental,School OST Part 1,2012,4Minute
4minute,Love Tension,Love Tension,2012,4Minute
4minute,Volume up (Japanese Version),Love Tension,2012,4Minute
4minute,Love Tension (Karaoke Version),Love Tension,2012,4Minute
4minute,Volume up (Karaoke Version),Love Tension,2012,4Minute
4minute,Get On The Floor,Volume Up,2012,4Minute
4minute,Volume Up,Volume Up,2012,4Minute
4minute,I'm OK,Volume Up,2012,4Minute
4minute,Say My Name,Volume Up,2012,4Minute
4minute,Femme Fatale,Volume Up,2012,4Minute
4minute,Dream Racer,Volume Up,2012,4Minute
4minute,Black Cat,Volume Up,2012,4Minute
4minute,Welcome to the School,School OST Part 1,2012,4Minute
4minute,Welcome to the School - Instrumental,School OST Part 1,2012,4Minute
4minute,Love Tension,Love Tension,2012,4Minute
4minute,Volume up (Japanese Version),Love Tension,2012,4Minute
4minute,Love Tension (Karaoke Version),Love Tension,2012,4Minute
4minute,Volume up (Karaoke Version),Love Tension,2012,4Minute
4minute,Get On The Floor,Volume Up,2012,4Minute
4minute,Volume Up,Volume Up,2012,4Minute
4minute,I'm OK,Volume Up,2012,4Minute
4minute,Say My Name,Volume Up,2012,4Minute
4minute,Femme Fatale,Volume Up,2012,4Minute
4minute,Dream Racer,Volume Up,2012,4Minute
4minute,Black Cat,Volume Up,2012,4Minute
4minute,Is It Poppin'?,Is It Poppin'?,2013,4Minute
4minute,What's my name?,Name is 4minute,2013,4Minute
4minute,What's your name?,Name is 4minute,2013,4Minute
4minute,Whatever,Name is 4minute,2013,4Minute
4minute,Gimme that,Name is 4minute,2013,4Minute
4minute,Domino,Name is 4minute,2013,4Minute
4minute,Is It Poppin'?,Is It Poppin'?,2013,4Minute
4minute,What's my name?,Name is 4minute,2013,4Minute
4minute,What's your name?,Name is 4minute,2013,4Minute
4minute,Whatever,Name is 4minute,2013,4Minute
4minute,Gimme that,Name is 4minute,2013,4Minute
4minute,Domino,Name is 4minute,2013,4Minute
4minute,Is It Poppin'?,Is It Poppin'?,2013,4Minute
4minute,What's my name?,Name is 4minute,2013,4Minute
4minute,What's your name?,Name is 4minute,2013,4Minute
4minute,Whatever,Name is 4minute,2013,4Minute
4minute,Gimme that,Name is 4minute,2013,4Minute
4minute,Domino,Name is 4minute,2013,4Minute
4minute,Wait A Minute,4minute WORLD,2014,4Minute
4minute,Whatcha Doin' Today,4minute WORLD,2014,4Minute
4minute,"I'll Teach You - Ji Hyun, Ji Yoon, So Hyun",4minute WORLD,2014,4Minute
4minute,"Come In - Ga Yoon, Hyun A",4minute WORLD,2014,4Minute
4minute,Thank You :),4minute WORLD,2014,4Minute
4minute,살만찌고,살만찌고,2014,4Minute
4minute,살만찌고 (Inst.),살만찌고,2014,4Minute
4minute,Wait A Minute,4minute WORLD,2014,4Minute
4minute,Whatcha Doin' Today,4minute WORLD,2014,4Minute
4minute,"I'll Teach You - Ji Hyun, Ji Yoon, So Hyun",4minute WORLD,2014,4Minute
4minute,"Come In - Ga Yoon, Hyun A",4minute WORLD,2014,4Minute
4minute,Thank You :),4minute WORLD,2014,4Minute
4minute,살만찌고,살만찌고,2014,4Minute
4minute,살만찌고 (Inst.),살만찌고,2014,4Minute
4minute,Wait A Minute,4minute WORLD,2014,4Minute
4minute,Whatcha Doin' Today,4minute WORLD,2014,4Minute
4minute,"I'll Teach You - Ji Hyun, Ji Yoon, So Hyun",4minute WORLD,2014,4Minute
4minute,"Come In - Ga Yoon, Hyun A",4minute WORLD,2014,4Minute
4minute,Thank You :),4minute WORLD,2014,4Minute
4minute,살만찌고,살만찌고,2014,4Minute
4minute,살만찌고 (Inst.),살만찌고,2014,4Minute
4minute,Crazy,Crazy,2015,4Minute
4minute,Cut It Out,Crazy,2015,4Minute
4minute,Tickle Tickle Tickle,Crazy,2015,4Minute
4minute,iCatch,Crazy,2015,4Minute
4minute,Show Me,Crazy,2015,4Minute
4minute,Cold Rain,Crazy,2015,4Minute
4minute,Crazy,Crazy,2015,4Minute
4minute,Cut It Out,Crazy,2015,4Minute
4minute,Tickle Tickle Tickle,Crazy,2015,4Minute
