release_id,title,status,release_date,country,artists
11d076b0-d19b-4b81-a4ea-098fe10a835f,BLUE PUNCH,Official,2020-08-04,KR,Rocket Punch
129bd232-8c76-4d55-9657-74ce11342c3a,Bubble Up!,Official,2021-08-04,XW,Rocket Punch
17affc32-1de0-4f9b-bb4d-53e29567caee,治癒 (치유),Official,2018-04-23,KR,Lovelyz
1a1041f5-8875-44cc-8a26-c7ab753f1e1a,Muse on Music,Official,2018-09-10,US,Lovelyz
1b4d863d-d7cb-439a-ae40-ec05d154ec4a,RED PUNCH,Official,2020-02-10,XW,Rocket Punch
231d5957-536c-4a70-a65f-d3892a20d4ad,Fall in Lovelyz,Official,2017-11-15,US,Lovelyz
252e9e5a-9194-46f6-b83d-001c02a4831b,TOP SEED,Official,2018-01-08,KR,INFINITE
25d8d1a8-4c8f-41a5-90db-b924989f5789,Muse on Music,Official,2018-09-10,KR,Lovelyz
27897d98-3ba5-4ff4-8e9a-677c46ca05a4,Fall in Lovelyz,Official,2017-11-14,KR,Lovelyz
2dcbb7fe-9529-465a-993d-3065684ab893,A New Journey,Official,2019-05-07,XW,남우현
2e3207fc-f255-448a-86fc-af4bd0563311,Color,Official,2022-04-04,AF,KWON EUNBI
2ec829ec-5567-443d-ade5-8284e585d276,"Now, We",Official,2017-05-02,XW,Lovelyz
2f8d31c8-72aa-4376-bfb8-e2075227781c,Tiger Eyes,Official,2020-05-20,XW,류수정
304ee2f8-45d9-47ec-ae76-8c21d524504d,Game Changer,Official,2021-08-02,XW,Golden Child
305556fc-2f8e-442f-a90b-42fe986921a1,GAME CHANGER,Official,2021,KR,Golden Child
32ea8388-dabf-4628-ae0b-0d670d381241,Without You,Official,2020-01-29,KR,Golden Child
331a2a91-543f-454b-b781-9d1a010bc1d0,ESPER,Pseudo-Release,2022-03-10,XW,KWON EUNBI
34430c07-c339-476f-9041-a794c0115638,Fall in Lovelyz,Official,2017-11-14,KR,Lovelyz
3476d9fd-50a0-418b-bed7-cab212ea3d6c,With,Official,2021-10-19,KR,남우현
385b9ce4-d483-432e-ba7b-b77c9306e738,"Now, We",Official,2017-05-02,XW,Lovelyz
38c2d878-6c64-43c6-adc9-8bed6c1646d7,INFINITE EFFECT ADVANCE LIVE,Official,2016-11-10,KR,INFINITE
4550bb76-ca49-40aa-b1a1-f4bf10a18ee9,"지금, 우리",Official,2017-05-02,KR,Lovelyz
45934a87-690f-4a52-b6f2-e87dcac739a7,ONCE UPON A TIME,Official,2019-05-20,KR,Lovelyz
468361b3-f544-4fc9-b30c-4db653c8a9c5,SANCTUARY,Official,2018-11-26,KR,Lovelyz
4e42b088-9bb9-44f8-9c63-75580b6e8151,TOP SEED,Official,2018-01-08,KR,INFINITE
548211ab-17a3-44b0-a02a-cb18df91db6c,Goldenness,Official,2018-07-04,KR,Golden Child
54f2dc0c-02eb-4aa0-934f-80b69cc369f4,Wag-Zak,Official,2018-07-01,US,Lovelyz
56e281e4-6fc8-4604-b571-2a6d49340be9,INFINITE EFFECT ADVANCE LIVE,Official,2016-11-11,KR,INFINITE
56fecf4d-6b3b-4983-8405-8f4e1803098b,YELLOW PUNCH,Official,2022-02-28,KR,Rocket Punch
5872e593-686d-4446-9d3a-d9dfdc2d6728,Pump It Up,Official,2020-10-07,KR,Golden Child
5d78ad30-f42a-4f3d-b6d4-b7e8604f82cd,PINK PUNCH,Official,2019-08-07,KR,Rocket Punch
5ee381b2-0226-4132-b538-6337f7b5b093,Re-boot,Official,2019-11-18,KR,Golden Child
687df3af-01f7-4f63-97d9-0a73ddcf32c8,Villain,Official,2022-01-17,KR,DRIPPIN
6b4f940e-e371-4ef5-b4c7-84e8ea72e2f8,OPEN,Official,2021-08-24,XW,KWON EUNBI
6bacad13-8fa2-41b9-930f-4526ca8a0ac7,OPEN,Official,2021-08-24,XW,KWON EUNBI
741b3cfd-441e-4144-af30-a41ca0733a9d,Unforgettable,Official,2020-09-01,KR,Lovelyz
743e907c-6544-4b84-a907-409252d8d4cb,EPIC SEVEN (Original Soundtrack) 'Energetic',Pseudo-Release,2022-01-18,XW,KWON EUNBI
752f920a-cc7d-4137-ab26-066be02f1aeb,奇跡,Official,2018-01-29,KR,Golden Child
779eb65f-79fa-469f-af9f-a751373b22f7,Unforgettable,Official,2020-09-01,KR,Lovelyz
795072ad-2e11-4ed3-b8f4-bd4d4fb7bb88,奇跡 (기적),Official,2018-01-29,KR,Golden Child
7a6043b1-1903-43fe-adc7-07d863155ac4,奇跡,Official,2018-01-29,KR,Golden Child
7ead1cb5-2f01-4ce3-a4cd-0e47fee43960,ONCE UPON A TIME,Official,2019-05-20,KR,Lovelyz
805a845c-15f6-4b04-9114-4f5d4dfc1399,ONCE UPON A TIME,Official,2019-05-20,KR,Lovelyz
806fba04-fdcf-4fe2-b876-95056540bb5a,Game Changer,Official,2021-08-02,KR,Golden Child
81c48fb3-5a64-469a-9664-1c7d315e0c33,Re-boot,Official,2019-11-18,KR,Golden Child
82a50ccb-f525-4fa0-b973-7ebd26272e1d,治癒,Official,2018-04-23,KR,Lovelyz
86bc957d-3c19-48c9-9d8f-f4f62d7f1e45,Unforgettable,Official,2020-09-01,AF,Lovelyz
8765112b-08f6-45d3-bca2-57137980322b,여름 한 조각,Official,2018-07-01,KR,Lovelyz
8859714d-0679-4587-98a0-db881e554df7,OPEN,Pseudo-Release,2021-08-21,XW,KWON EUNBI
8a11893e-0a49-410c-8d56-e03f71293c9f,Gol-Cha!,Official,2017-08-28,KR,Golden Child
8a8a8a83-6d0f-4e27-93ec-b9c754a5ed79,YELLOW PUNCH,Official,2022-02-28,XW,Rocket Punch
8c8808ae-e81a-45bb-8d0e-0187ae8e96aa,Unforgettable,Official,2020-09-01,KR,Lovelyz
