release_id,title,status,release_date,country,artists
d5edca5e-18b4-41e2-a0aa-0cc4d290c4e6,PeeKaBoo,Official,2011-01-14,KR,JQT
d78af61d-026d-4437-86e0-daaebd7e1121,Three Go,Official,2008-11-20,KR,Norazo
da76af0f-9820-47d6-a612-eb145c252986,Together,Official,2012-05-09,KR,양파
dc92dfb2-0284-4e79-9a9c-e26d8ac9a908,T-Virus,Official,2009-09-03,KR,김태우
e0a7a9cd-76e1-4c8a-ad40-935d364b95ed,In the Air,Official,2009-09-10,KR,Loveholics
e8548a71-f64d-41e6-9ef5-3dd49c04ac0e,Apollo 18,Official,2010-01-28,KR,Apollo 18
edb6c9e0-511a-4b9e-8a06-b761f896c5b6,로드넘버원 OST,Official,2010-08-04,KR,소지섭
eee1df79-436e-40dc-a476-49e8baabeb88,칭찬해줘,Official,2012-04-25,KR,이준기
f42f2386-1bfb-423e-900a-3bf8dff4e06c,Russian Roulette,Official,2012-02-08,KR,SPICA
f72d6251-a9b8-4bb1-92aa-75e296a60ed1,웃고 떠나,Official,2013-03-20,KR,길미
f88ce1ee-81dd-4af1-9ada-eac91de9bb1a,Difference,Official,2010-08-12,KR,지아
fb1ea9b5-33e6-445b-b02d-805cbed0230f,Organic Sound,Official,2013-05-16,KR,바이브
028586a3-64e1-4513-95ad-692d5570f6c7,BLACK LABEL,Official,2015-03-04,KR,FIESTAR
063379fa-2866-4255-8031-f893988328b9,삐까뻔쩍,Official,2014-02-06,KR,GP Basic
09fc780a-79be-4649-a0e2-ceab73b7ceb0,MR.GAE,Official,2014-01-15,KR,개리
1125db61-19b1-49a4-81ca-875d8d2776f1,"사임당, 빛의 일기 OST Part.4",Official,2017-02-17,KR,Lyn
112e4e8d-200e-4e5d-ba01-9268981f5fb8,Modern Times,Official,2013-10-07,KR,IU
11985e02-7354-4f69-aa99-48456556dfab,THIS IS US,Official,2018-06-18,KR,BTOB
125252b9-88c1-4720-b87c-71365a59a228,Hidden Story (숨겨진 이야기),,2016-11-16,KR,한아름
19130a8d-8144-4918-949e-4b58ea85b3d9,Bring Me the Darkness,Official,2014-09-29,,Midian
1e7b93bc-f7e5-4535-a078-5ff7add0cb45,맨도롱 또똣 OST Part 3,Official,2015-05-21,KR,Hyolyn
1ecd94ed-47fc-419d-b6d2-3de9014f3330,The First Album 'From The Heart',,2016-10-18,,김나영
